ADID,CreativeUrl,Currency Code,Spend,Impressions,StartDate,EndDate,OrganizationName,PayingAdvertiserName,Gender,AgeBracket,CountryCode,,,,,,,,,
1ce7c447a1b781684558b8b52a1074527074b71c9b459c1e92c1f3d6420a73cd,https://www.snap.com/political-ads/asset/1b8bbfc7891c6415a58794349c873e2475eccb2d7fee5df5f80e76d4ea79bb5b?mediaType=mp4,EUR,2784,908208,2018/09/02 09:59:57Z,2018/09/15 09:59:59Z,Media Agent,Dansk_Folkeparti,,17+,denmark,,,,,,,,,
42f53d11aefb7de32435acd7b038313f02a711895a8234ab385f6333d52d5604,https://www.snap.com/political-ads/asset/6f5aa115eb90d8ffb4b8830f4e38127ba43b6ac1b990c6a3ab8f44ca253ab59b?mediaType=mp4,EUR,1064,633893,2018/08/20 06:56:43Z,2018/11/30 07:48:35Z,Reprise Media,Mejeriforeningen,,20-29,denmark,,,,,,,,,
06d6e68eaab86f52eb947da77d13732e7c0436e0f3da325c81125d73be9539ea,https://www.snap.com/political-ads/asset/e82f724f0acdbead35d82e101faff1377a9be1e4e949983f11af23e3a6b9b57e?mediaType=mp4,USD,510,123200,2018/10/26 18:05:50Z,2018/11/06 22:00:00Z,ACRONYM,Knock The Vote,,18-34,united states,,,,,,,,,
e464b63f295b4bc4087d9aa09516a4d315fecb2637a53013961051986f297f77,https://www.snap.com/political-ads/asset/bb76743bbd7ad3ecd4d1eda197e8b4595da2dbf761d2fb79d0b97b1e1a6f3a7d?mediaType=mp4,CAD,317,181836,2018/07/20 23:09:54Z,2018/09/04 03:59:00Z,The Aber Group,Plan International Canada,,,canada,,,,,,,,,
f5531e8f40c8a90c0c5ba6c231b6b5d7b6a8028fd017c36c2d4b72a842036613,https://www.snap.com/political-ads/asset/c88671b4ccd159709cbbea0dc5868fbd67bfe77e337b425bb3faa0a0b431adf1?mediaType=mp4,USD,867,195969,2018/10/29 00:34:10Z,2018/11/07 01:00:00Z,"Aisle 518 Strategies, LLC",Friends of Chris Murphy,,18+,united states,,,,,,,,,
c2c26403462db4f3a18518ce66acdb864c9d99b1daccae9147f3418b3dd6a256,https://www.snap.com/political-ads/asset/23b0797f9318e980ca75225b40c044426540932648f80455f5aa4d1d8290c022?mediaType=mp4,USD,369,166104,2018/10/31 07:00:01Z,2018/11/03 06:59:59Z,Mammoth ,King County Elections,,18+,united states,,,,,,,,,
be265ebeaf2c7723f7f99795759361be4bab829fe334d5da18357d3cc8b4a443,https://www.snap.com/political-ads/asset/f7ded5ba611d30003669620875317cac0a4204fa2df31756773b2f99e0aba0a2?mediaType=mp4,CAD,2332,999214,2018/12/07 10:56:48Z,,First Nations Health Authority,First Nations Health Authority,,34-,canada,,,,,,,,,
c80ca50681d552551ceaf625981c0202589ca710d519250edb6499c8955bc439,https://www.snap.com/political-ads/asset/a36b7d3cf5ee871f8c3d156c88499c36621d3a05ae760b98e7d0708d140e3895?mediaType=png,USD,60,12883,2018/09/28 23:10:14Z,2018/10/10 02:00:00Z,Chong and Koster,Voter Participation Center,FEMALE,18+,united states,,,,,,,,,
cb1f2b9c33a308a9025373a501fb76ac182b137b4ac2e401c331885140b29fc8,https://www.snap.com/political-ads/asset/9f933b9ea5a227aaed6631f326aee49dfb79b0f15b28971e9951facb6e79aecd?mediaType=mp4,EUR,29,12674,2018/11/27 05:00:44Z,2019/01/13 11:31:15Z,Maxlead Services B.V.,Consumentenbond,,18-34,netherlands,,,,,,,,,
5298d1de3ec3218c58d21b622cdcc426100142f2fcdaa4c797e4b1d7172dddc2,https://www.snap.com/political-ads/asset/8d496da75c2471061a8a9280b32c5629810963dd43f7d2bbf8c193d23ad1de29?mediaType=jpg,EUR,58,21238,2018/09/04 06:14:02Z,2018/09/09 18:00:00Z,Grit Media,Rättvisepartiet Socialisterna,,18+,sweden,,,,,,,,,
